Country,Residence Requirement
Afghanistan,5 years
Albania,5 years
Algeria,7 years
Andorra,20 years
Angola,10 years
Antigua and Barbuda,7 years
Argentina,2 years
Armenia,3 years
Australia,4 years
Austria,10 years
Azerbaijan,5 years
Bahamas,10 years
Bahrain,10 years
Bangladesh,5 years
Barbados,5 years
Belarus,5 years
Belgium,5 years
Belize,5 years
Benin,10 years
Bhutan,20 years
Bolivia,3 years
Bosnia and Herzegovina,8 years
Botswana,10 years
Brazil,4 years
British Overseas Territories,5 years
Brunei,10 years
Bulgaria,5 years
Burkina Faso,10 years
Burundi,10 years
Cambodia,7 years
Cameroon,5 years
Canada,3 years
Cape Verde,5 years
Central African Republic,35 years
Chad,15 years
Chile,5 years
China,N/A
Hong Kong,7 years
Macau,7 years
Colombia,8 years
Comoros,10 years
Congo,10 years
Costa Rica,7 years
Croatia,8 years
Cuba,5 years
Cyprus,7 years
Czechia,5 years
Democratic Republic of the Congo,5 years
Denmark,9 years
Djibouti,10 years
Dominica,7 years
Dominican Republic,2 years
East Timor,10 years
Ecuador,5 years
Egypt,10 years
El Salvador,5 years
Equatorial Guinea,10 years
Eritrea,20 years
Estonia,8 years
Eswatini,5 years
Ethiopia,4 years
Fiji,5 years
Finland,5 years
France,5 years
Gabon,10 years
Gambia,10 years
Georgia,10 years
Germany,5 years
Ghana,5 years
Greece,7 years
Grenada,7 years
Guatemala,10 years
Guinea,5 years
Guinea-Bissau,5 years
Guyana,7 years
Haiti,5 years
Honduras,3 years
Hungary,8 years
Iceland,7 years
India,12 years
Indonesia,5 years
Iran,5 years
Iraq,10 years
Ireland,5 years
Israel,3 years
Italy,10 years
Ivory Coast,5 years
Jamaica,5 years
Japan,5 years
Jordan,15 years
Kazakhstan,5 years
Kenya,7 years
Kiribati,7 years
Kuwait,15 years
Kyrgyzstan,5 years
Laos,10 years
Latvia,10 years
Lebanon,5 years
Lesotho,5 years
Liberia,2 years
Libya,10 years
Liechtenstein,10 years
Lithuania,10 years
Luxembourg,5 years
Madagascar,5 years
Malawi,7 years
Malaysia,12 years
Maldives,12 years
Mali,5 years
Malta,5 years
Marshall Islands,7 years
Mauritania,5 years
Mauritius,5 years
Mexico,5 years
Micronesia,5 years
Moldova,10 years
Monaco,10 years
Mongolia,5 years
Montenegro,10 years
Morocco,5 years
Mozambique,5 years
Myanmar,N/A
Namibia,5 years
Nauru,7 years
Nepal,15 years
Netherlands,5 years
New Zealand,5 years
Nicaragua,4 years
Niger,10 years
Nigeria,15 years
North Korea,N/A
North Macedonia,8 years
Norway,8 years
Oman,20 years
Pakistan,5 years
Palau,N/A
Panama,5 years
Papua New Guinea,8 years
Paraguay,3 years
Peru,2 years
Philippines,10 years
Poland,10 years
Portugal,5 years
Qatar,25 years
Romania,8 years
Russia,5 years
Rwanda,10 years
Samoa,5 years
San Marino,30 years
São Tomé and Príncipe,5 years
Saudi Arabia,10 years
Senegal,5 years
Serbia,3 years
Seychelles,10 years
Sierra Leone,5 years
Singapore,2.5 years
Slovakia,8 years
Slovenia,10 years
Solomon Islands,7 years
Somalia,7 years
South Africa,5 years
South Korea,5 years
South Sudan,10 years
Spain,10 years
Sri Lanka,5 years
St. Kitts and Nevis,14 years
St. Lucia,7 years
St. Vincent and the Grenadines,7 years
Sudan,10 years
Suriname,5 years
Sweden,5 years
Switzerland,10 years
Syria,5 years
Taiwan,5 years
Tajikistan,5 years
Tanzania,5 years
Thailand,5 years
Togo,5 years
Tonga,5 years
Trinidad and Tobago,7 years
Tunisia,5 years
Turkey,5 years
Turkmenistan,7 years
Tuvalu,7 years
Uganda,20 years
Ukraine,5 years
United Arab Emirates,30 years
United Kingdom,5 years
United States,5 years
Uruguay,5 years
Uzbekistan,5 years
Vanuatu,10 years
Vatican City,N/A
Venezuela,10 years
Vietnam,5 years
Yemen,5 years
Zambia,5 years
Zimbabwe,5 years
